name,@lat,@lon
O Ramen,35.0808514,-106.6231835
Naruto Ramen,35.0808520,-106.6233404
Asahi Express,35.0808154,-106.6235580
Yasmine's Cafe,35.0814695,-106.6289390
Tucanos,35.0839637,-106.6484610
Sushi King,35.0840595,-106.6487740
Duran's Central Pharmacy,35.0925207,-106.6671375
Stripes,35.0585564,-106.5785337
Western View Diner & Steak House,35.0805543,-106.7089966
Frenchish,35.0800664,-106.6052137
Soo Bak,35.0790775,-106.6038806
Frontier Restaurant,35.0807868,-106.6192384
Chopstix,35.0888597,-106.5789476
Los Cuates Del Norte,35.0877185,-106.5904728
Pizza Hut,35.0911901,-106.6543450
Foodtopia,35.0846222,-106.6510817
Sahara Middle Eastern Eatery,35.0806130,-106.6162890
Curry Leaf,35.1300170,-106.5702103
Jinja Bar and Bistro,35.1752632,-106.5443197
Krung Thai,35.1096276,-106.5556317
Einstein Bagels,35.1542627,-106.5917747
China Luck,35.1726414,-106.5766551
Squeezed! Juice Bar,35.1720462,-106.5767050
Guaca Guaca Tacos,35.1747793,-106.5603208
Jade Chinese Restaurant,35.1750687,-106.5608170
Starry Moon,35.1748209,-106.5611389
Vintage 423,35.1737006,-106.5576037
Thai Spice,35.1748566,-106.5626130
Kabob House,35.1754773,-106.5557058
Azuma,35.1752707,-106.5556998
La Salita,35.0925591,-106.5332276
Basil Leaf,35.0927171,-106.5332276
Pizza Castle,35.0933382,-106.5333188
Dion's,35.0708039,-106.5245480
Pei Wei,35.1043076,-106.5692114
Mario's,35.1400087,-106.6405982
Pizza Castle,35.0933893,-106.5324819
Mata G Vegetarian Kitchen,35.0791989,-106.6056340
Korean BBQ,35.0787234,-106.5968217
Duke City Kitchen,35.0867717,-106.5889037
Sushi Xuan Asian Grill,35.0734501,-106.4970261
,35.1435205,-106.5937350
,35.1436275,-106.5935459
Havana Restaurant,35.1099982,-106.5837624
Pizza Hut,35.0900830,-106.5147069
BJ's,35.1962918,-106.6559853
Filipino Hawaiian Food,35.1302794,-106.5641289
Sushi Freak,35.1022555,-106.5684043
Sahara Express,35.1031752,-106.5676194
Cantina,35.1079854,-106.6248719
Stockman's Grill,35.1083102,-106.6248719
Kosmos,35.1022949,-106.6501290
Icon Bistro,35.0886398,-106.6495030
Fiesta’s New Mexican Food,35.1305877,-106.6035946
Feed and Seed Modern General,35.0911139,-106.6664777
Xuan Asian,35.1031518,-106.7293266
Neo Szechuan,35.1300803,-106.5644454
